Jesus of Suburbia by Green Day (2004), Count: 2
Jesus Walks by Kanye West (2004), Count: 2
Float On by Modest Mouse (2004), Count: 2
Basic Instinct by Quasimoto (2004), Count: 2
Somebody Told Me by The Killers (2004), Count: 2
I Bet You Look Good on the Dancefloor by Arctic Monkeys (2005), Count: 2
DARE by Gorillaz (2005), Count: 2
Feel Good Inc. by Gorillaz, De La Soul (2005), Count: 2
Gold Digger by Kanye West ft. Jamie Foxx (2005), Count: 2
Touch the Sky by Kanye West ft. Lupe Fiasco (2005), Count: 2
Smack That by Akon ft. Eminem (2006), Count: 2
Teenagers by My Chemical Romance (2006), Count: 2
Snow (Hey Oh) by Red Hot Chili Peppers (2006), Count: 2
Hips Don't Lie by Shakira ft. Wyclef Jean (2006), Count: 2
Archangel by Burial (2007), Count: 2
Into the New World by Girls' Generation (2007), Count: 2
Deep, Deep by Have A Nice Life (2007), Count: 2
Can't Tell Me Nothing by Kanye West (2007), Count: 2
I Wonder by Kanye West (2007), Count: 2
Flashing Lights by Kanye West ft. Dwele (2007), Count: 2
Good Life by Kanye West ft. T-Pain (2007), Count: 2
What I've Done by Linkin Park (2007), Count: 2
Kids by MGMT (2007), Count: 2
Breakin' Dishes by Rihanna (2007), Count: 2
Haru Haru by BIGBANG (2008), Count: 2
Poker Face by Lady Gaga (2008), Count: 2
Love Story by Taylor Swift (2008), Count: 2
Breakeven by The Script (2008), Count: 2
A-Punk by Vampire Weekend (2008), Count: 2
Nobody by Wonder Girls (2008), Count: 2
I Gotta Feeling by Black Eyed Peas (2009), Count: 2
Axel F by Crazy Frog (2009), Count: 2
Last Night on Earth by Green Day (2009), Count: 2
Tik Tok by Kesha (2009), Count: 2
Bad Romance by Lady Gaga (2009), Count: 2
1901 by Phoenix (2009), Count: 2
Sorry Sorry by Super Junior (2009), Count: 2
Darkness by Sweet Trip (2009), Count: 2
I Gotta Feeling by The Black Eyed Peas (2009), Count: 2
Talking to the Moon by Bruno Mars (2010), Count: 2
Pumped Up Kicks by Foster the People (2010), Count: 2
Angel Echoes by Four Tet (2010), Count: 2
On Melancholy Hill by Gorillaz (2010), Count: 2
Rhinestone Eyes by Gorillaz (2010), Count: 2
Baby by Justin Bieber (2010), Count: 2
Firework by Katy Perry (2010), Count: 2
California Gurls by Katy Perry ft. Snoop Dogg (2010), Count: 2
Moves Like Jagger by Maroon 5 (2010), Count: 2
Black Sheep by Metric (2010), Count: 2
Waka Waka by Shakira (2010), Count: 2
Dynamite by Taio Cruz (2010), Count: 2
Call Me Maybe by Carly Rae Jepsen (2011), Count: 2
A Thousand Years by Christina Perri (2011), Count: 2
A Real Hero by College & Electric Youth (2011), Count: 2
Stereo Hearts by Gym Class Heroes (2011), Count: 2
Last Friday Night by Katy Perry (2011), Count: 2
Video Games by Lana Del Rey (2011), Count: 2
Party Rock Anthem by LMFAO (2011), Count: 2
Little Talks by Of Monsters and Men (2011), Count: 2
Friday by Rebecca Black (2011), Count: 2
R U Mine? by Arctic Monkeys (2012), Count: 2
Call Me Maybe by Carly Rae Jepsen (2012), Count: 2
I've Seen Footage by Death Grips (2012), Count: 2
Beauty and a Beat by Justin Bieber (2012), Count: 2
Swimming Pools (Drank) by Kendrick Lamar (2012), Count: 2
National Anthem by Lana Del Rey (2012), Count: 2
Ride by Lana Del Rey (2012), Count: 2
Primadonna by Marina (2012), Count: 2
Starships by Nicki Minaj (2012), Count: 2
Let Her Go by Passenger (2012), Count: 2
Feels Like We Only Go Backwards by Tame Impala (2012), Count: 2
Ho Hey by The Lumineers (2012), Count: 2
Clarity by Zedd ft. Foxes (2012), Count: 2
Do I Wanna Know? by Arctic Monkeys (2013), Count: 2
Contact by Daft Punk (2013), Count: 2
Get Lucky by Daft Punk (2013), Count: 2
Get Lucky by Daft Punk ft. Pharrell Williams (2013), Count: 2
Take Me To Church by Hozier (2013), Count: 2
Let It Go by Idina Menzel (2013), Count: 2
All of Me by John Legend (2013), Count: 2
Roar by Katy Perry (2013), Count: 2
Young and Beautiful  by Lana Del Rey (2013), Count: 2
Still into You by Paramore (2013), Count: 2
Call It Fate, Call It Karma by The Strokes (2013), Count: 2
The Fox (What Does the Fox Say?) by Ylvis (2013), Count: 2
The Nights by Avicii (2014), Count: 2
Summer by Calvin Harris (2014), Count: 2
Photograph by Ed Sheeran (2014), Count: 2
Thinking Out Loud by Ed Sheeran (2014), Count: 2
Silhouette by KANA-BOON (2014), Count: 2
Shia LaBeouf Live by Rob Cantor (2014), Count: 2
Eyes, Nose, Lips by Taeyang (2014), Count: 2
Shake It Off by Taylor Swift (2014), Count: 2
Lovers Rock by TV Girl (2014), Count: 2
L$D by A$AP Rocky (2015), Count: 2
Paralyzed by Against The Current (2015), Count: 2
Runaway by AURORA (2015), Count: 2
BANG BANG BANG by BIGBANG (2015), Count: 2
LOSER by BIGBANG (2015), Count: 2
Electric Love by BØRNS (2015), Count: 2
Bene by Gemitaiz (2015), Count: 2
Alright by Kendrick Lamar (2015), Count: 2
Wesley's Theory by Kendrick Lamar (2015), Count: 2
Art Deco by Lana Del Rey (2015), Count: 2
7 Years by Lukas Graham (2015), Count: 2
Need 2 by Pinegrove (2015), Count: 2
New Person, Same Old Mistakes by Tame Impala (2015), Count: 2
The Beach by The Neighbourhood (2015), Count: 2
Spice by Tokyo Karankoron (2015), Count: 2
Youth by Troye Sivan (2015), Count: 2
Stressed out by twenty one pilots (2015), Count: 2
Ride by Twenty One Pilots (2015), Count: 2
Look At Me! by XXXTENTACION (2015), Count: 2
Pink + White by Frank Ocean (2016), Count: 2
Self Control by Frank Ocean (2016), Count: 2
White Ferrari by Frank Ocean (2016), Count: 2
narrow road by Kensuke Ushio (2016), Count: 2
Flamingo by Kero Kero Bonito (2016), Count: 2
7 Years by Lukas Graham (2016), Count: 2
Alaska by Maggie Rogers (2016), Count: 2
Closer by The Chainsmokers (2016), Count: 2
Don't Let Me Down by The Chainsmokers ft. Daya (2016), Count: 2
Closer by The Chainsmokers ft. Halsey (2016), Count: 2
Starboy by The Weeknd, Daft Punk (2016), Count: 2
Goosebumps by Travis Scott (2016), Count: 2
goosebumps by Travis Scott ft. Kendrick Lamar (2016), Count: 2
Anh Ơi Ở Lại by Chi Pu (2017), Count: 2
Castle On The Hill by Ed Sheeran (2017), Count: 2
Unforgettable by French Montana (2017), Count: 2
Thunder by Imagine Dragons (2017), Count: 2
Whatever It Takes by Imagine Dragons (2017), Count: 2
HUMBLE. by Kendrick Lamar (2017), Count: 2
XO TOUR Llif3 by Lil Uzi Vert (2017), Count: 2
Despacito by Luis Fonsi ft. Daddy Yankee (2017), Count: 2
Watching Him Fade Away by Mac DeMarco (2017), Count: 2
Motion Sickness by Phoebe Bridgers (2017), Count: 2
Dandelions by Ruth B. (2017), Count: 2
Tran Tran by Sfera Ebbasta (2017), Count: 2
There's Nothing Holdin' Me Back by Shawn Mendes (2017), Count: 2
Sugar for The Pill by Slowdive (2017), Count: 2
